"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.2013","latitude.2013"
"GP128F",-63.2138091666667,46.7471408333333,"regular","No","No",NA,NA
"GP099F",-63.416525,46.7917708333333,"regular","No","No",NA,NA
"GP094F",-63.5661166666667,46.7780333333333,"fixed 2013","Yes","No",NA,NA
"GP077F",-63.6560225,46.8967016666667,"regular","No","No",NA,NA
"GP084F",-63.5591833333333,46.97095,"fixed 2013","Yes","No",NA,NA
"GP113F",-63.3206925,46.9111916666667,"regular","No","No",-63.4402666666667,46.9689666666667
"GP127F",-63.2000166666667,46.9576408333333,"regular","No","No",NA,NA
"GP125F",-63.21115,47.0626833333333,"fixed 2013","Yes","No",NA,NA
"GP106F",-63.3208916666667,47.0813058333333,"regular","No","Yes",NA,NA
"GP080F",-63.48084,47.1874066666667,"regular","No","No",NA,NA
"GP088F",-63.5581883333333,47.1070458333333,"regular","No","No",NA,NA
"GP068F",-63.7025391666667,47.0929525,"regular","No","Yes",NA,NA
"GP076F",-63.7490333333333,47.2905833333333,"fixed 2013","Yes","No",NA,NA
"GP061F",-63.76429,47.1947225,"regular","No","No",NA,NA
"GP049F",-63.8472066666667,47.1443741666667,"regular","No","Yes",-63.83505,47.1288
"GP026F",-64.1857833333333,47.0834,"fixed 2013","Yes","No",NA,NA
"GP024F",-64.24642,47.1894591666667,"regular","No","Yes",NA,NA
"GP036F",-64.10835704789,47.2114294021364,"regular","Yes","No",NA,NA
"GP046F",-63.9497441666667,47.3345608333333,"regular","No","No",-63.83145,47.3061166666667
"GP067F",-63.7103833333333,47.3878666666667,"fixed 2013","Yes","Yes",NA,NA
"GP091F",-63.5124166666667,47.54975,"fixed 2013","Yes","No",NA,NA
"GP066F",-63.7865266666667,47.4704241666667,"regular","No","No",NA,NA
"GP048F",-63.8326925,47.4450116666667,"regular","No","No",NA,NA
"GP050F",-63.8997116666667,47.4866608333333,"regular","No","No",NA,NA
"GP044F",-64.0879758333333,47.4114358333333,"regular","No","Yes",NA,NA
"GP025F",-64.1928333333333,47.3125333333333,"fixed 2013","Yes","No",NA,NA
"GP016F",-64.4408825,47.3005966666667,"regular","No","No",NA,NA
"GP023F",-64.286635,47.35605,"regular","No","No",NA,NA
"GP019F",-64.3442166666667,47.4357333333333,"fixed 2013","Yes","Yes",NA,NA
"GP018F",-64.3943966666667,47.5000391666667,"regular","No","Yes",NA,NA
"GP028F",-64.1818275,47.5416766666667,"regular","No","No",NA,NA
"GP032F",-64.0169666666667,47.5071,"fixed 2013","Yes","Yes",NA,NA
"GP022F",-64.3014333333333,47.6742,"fixed 2013","Yes","No",NA,NA
"GP030F",-64.1572141666667,47.6965233333333,"regular","No","No",NA,NA
"GP040F",-64.0955991666667,47.6797025,"regular","No","No",NA,NA
"GP042F",-64.0077558333333,47.7608683333333,"regular","No","No",NA,NA
"GP041F",-64.1522333333333,47.8607,"fixed 2013","Yes","No",NA,NA
"GP015F",-64.4670433333333,48.1173175,"regular","No","No",NA,NA
"GP012F",-64.7728025,48.0652433333333,"regular","No","No",NA,NA
"GP010F",-64.98892,48.0422766666667,"regular","No","No",NA,NA
"GP011F",-65.014025,47.9507533333333,"regular","No","No",-64.9639,47.9764333333333
"GP007F",-65.1527666666667,47.9691666666667,"fixed 2013","Yes","Yes",NA,NA
"GP005F",-65.33805,47.9614,"fixed 2013","Yes","No",NA,NA
"GP001F",-65.6276316666667,47.9751141666667,"regular","No","No",NA,NA
"GP003F",-65.4889891666667,47.9139475,"regular","No","No",NA,NA
"GP004F",-65.46825,47.80465,"fixed 2013","Yes","Yes",NA,NA
"GP002F",-65.5405816666667,47.78562,"regular","No","No",NA,NA
"GP006F",-65.3357,47.8240666666667,"fixed 2013","Yes","No",NA,NA
"GP008F",-65.14315,47.8951166666667,"fixed 2013","Yes","Yes",NA,NA
"GP009F",-64.98845,47.88675,"fixed 2013","Yes","No",NA,NA
"GP013F",-64.6775833333333,48.2455833333333,"fixed 2013","Yes","No",NA,NA
"GP017F",-64.3545166666667,48.1458333333333,"fixed 2013","Yes","Yes",NA,NA
"GP021F",-64.3066741666667,48.2515666666667,"regular","No","Yes",-64.20665,48.1663
"GP020F",-64.3345833333333,48.26945,"fixed 2013","Yes","No",NA,NA
"GP014F",-64.4814147067346,48.3135810687277,"fixed 2013","Yes","No",NA,NA
"GP034F",-64.1175258333333,48.45222,"regular","No","No",NA,NA
"GP027F",-64.1782325,48.53775,"regular","No","No",NA,NA
"GP033F",-64.1262816666667,48.5391758333333,"regular","No","Yes",NA,NA
"GP057F",-63.9911725,48.5570091666667,"regular","No","Yes",NA,NA
"GP038F",-64.0239870263128,48.6783450482692,"regular","Yes","Yes",NA,NA
"GP035F",-64.0640158333333,48.7549441666667,"regular","No","Yes",NA,NA
"GP054F",-63.9570291666667,48.7313633333333,"regular","No","Yes",NA,NA
"GP064F",-63.82442,48.6614525,"regular","No","No",NA,NA
"GP056F",-63.84689,48.6197441666667,"regular","No","No",NA,NA
"GP074F",-63.7944775,48.6052925,"regular","No","No",NA,NA
"GP083F",-63.52445,48.5392,"fixed 2013","Yes","No",NA,NA
"GP078F",-63.5091708333333,48.6427533333333,"regular","No","No",NA,NA
"GP107F",-63.4780433333333,48.6332216666667,"regular","No","No",NA,NA
"GP096F",-63.4207591666667,48.5744025,"regular","No","Yes",NA,NA
"GP112F",-63.3808833333333,48.46665,"fixed 2013","Yes","No",NA,NA
"GP103F",-63.3639516666667,48.3797791666667,"regular","No","No",NA,NA
"GP089F",-63.5211283333333,48.3135591666667,"regular","No","No",NA,NA
"GP086F",-63.6152366666667,48.4064441666667,"regular","No","No",NA,NA
"GP073F",-63.7541525,48.3194475,"regular","No","No",NA,NA
"GP065F",-63.7347166666667,48.4575333333333,"fixed 2013","Yes","No",NA,NA
"GP059F",-63.8894766666667,48.4114816666667,"regular","No","No",-63.8325,48.3966166666667
